               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11286,             0.02319,                   0,          0.00046595,             0.38235,          0.00041725,          0.00014053,            0.083539,            0.012004,                   0,            0.070714,            0.003254,            0.003254
                   1,            0.090465,           0.0090326,                   0,          0.00082437,             0.67647,           0.0010575,          0.00023101,            0.079031,           0.0070932,                   0,            0.040642,           0.0065148,           0.0065148
                   2,            0.079368,           0.0060097,                   0,           0.0011828,             0.97059,            0.042034,            0.014639,            0.068403,           0.0070684,                   0,            0.010496,           0.0097024,           0.0097024
                   3,            0.068887,           0.0052581,                   0,           0.0012186,                   1,             0.27023,            0.061541,            0.053158,           0.0082914,                   0,             0.00967,             0.00967,             0.00967
                   4,            0.061577,           0.0045373,                   0,           0.0012186,                   1,             0.63954,             0.18584,            0.058206,           0.0083379,                   0,             0.00967,             0.00967,             0.00967
                   5,            0.056343,           0.0046265,                   0,           0.0012672,                   1,             0.68967,             0.28986,              0.0471,           0.0084722,                   0,             0.00956,             0.00956,             0.00956
                   6,            0.058516,           0.0051895,                   0,           0.0012186,                   1,             0.70068,             0.34377,            0.041191,           0.0082935,                   0,             0.00945,             0.00945,             0.00945
                   7,            0.051604,           0.0049715,                   0,            0.001403,                   1,             0.66551,             0.18563,            0.051765,            0.007102,                   0,             0.00934,             0.00934,             0.00934
                   8,             0.05355,           0.0046547,                   0,           0.0020449,                   1,              0.6069,             0.28498,            0.042351,           0.0075544,                   0,             0.00923,             0.00923,             0.00923
                   9,            0.051021,           0.0044276,                   0,           0.0012841,             0.94118,             0.30151,            0.093649,            0.046035,           0.0081986,                   0,             0.00912,             0.00912,             0.00912
                  10,            0.052908,           0.0047278,                   0,           0.0021823,                   1,             0.69603,             0.23516,            0.044996,           0.0074482,                   0,             0.00901,             0.00901,             0.00901
                  11,            0.049934,           0.0044615,                   0,           0.0022654,             0.97059,              0.6772,             0.16882,            0.047182,           0.0073649,                   0,              0.0089,              0.0089,              0.0089
                  12,            0.051201,           0.0045461,                   0,           0.0015868,             0.97059,             0.55458,             0.22969,            0.040085,           0.0077245,                   0,             0.00879,             0.00879,             0.00879
                  13,            0.049555,           0.0044548,                   0,           0.0012161,             0.97059,             0.54534,             0.23132,            0.040904,           0.0081611,                   0,             0.00868,             0.00868,             0.00868
                  14,            0.046787,           0.0043747,                   0,            0.010638,             0.88235,             0.69661,             0.34861,            0.038918,           0.0078268,                   0,             0.00857,             0.00857,             0.00857
                  15,            0.046353,           0.0046911,                   0,           0.0057608,                   1,             0.84505,              0.4016,            0.034892,           0.0071734,                   0,             0.00846,             0.00846,             0.00846
                  16,            0.041762,           0.0040571,                   0,            0.004788,                   1,             0.80471,             0.38002,            0.034374,           0.0077008,                   0,             0.00835,             0.00835,             0.00835
                  17,            0.046197,           0.0040952,                   0,            0.013737,                   1,             0.88452,             0.33051,            0.041561,           0.0069628,                   0,             0.00824,             0.00824,             0.00824
                  18,            0.042251,            0.004239,                   0,            0.044225,                   1,             0.82554,             0.43533,             0.03371,           0.0072585,                   0,             0.00813,             0.00813,             0.00813
                  19,            0.046855,           0.0046165,                   0,             0.01409,                   1,              0.8804,             0.42653,             0.03666,           0.0069764,                   0,             0.00802,             0.00802,             0.00802
                  20,            0.044587,           0.0044639,                   0,            0.015203,             0.94118,             0.74443,             0.26128,            0.043938,           0.0074681,                   0,             0.00791,             0.00791,             0.00791
                  21,             0.04785,            0.004528,                   0,              0.0462,                   1,             0.84882,             0.42041,            0.034826,           0.0074439,                   0,              0.0078,              0.0078,              0.0078
                  22,            0.044179,           0.0043077,                   0,            0.099912,             0.97059,             0.71792,             0.39983,            0.031591,           0.0072584,                   0,             0.00769,             0.00769,             0.00769
                  23,            0.045138,           0.0038593,                   0,              0.2313,             0.97059,             0.85038,             0.33457,            0.033612,           0.0070857,                   0,             0.00758,             0.00758,             0.00758
                  24,             0.04387,           0.0043592,                   0,            0.054552,             0.97059,              0.8562,             0.41368,            0.031696,           0.0072792,                   0,             0.00747,             0.00747,             0.00747
                  25,            0.043336,            0.004221,                   0,             0.19247,             0.97059,             0.90171,             0.42267,            0.042935,            0.006681,                   0,             0.00736,             0.00736,             0.00736
                  26,            0.041798,           0.0040885,                   0,             0.43228,             0.97059,             0.94697,             0.46838,            0.033128,            0.006651,                   0,             0.00725,             0.00725,             0.00725
                  27,            0.039938,           0.0040766,                   0,             0.56704,                   1,             0.94956,             0.38295,            0.034323,           0.0066721,                   0,             0.00714,             0.00714,             0.00714
                  28,            0.042878,           0.0044174,                   0,             0.33286,             0.94118,             0.89116,             0.42158,            0.036909,           0.0067817,                   0,             0.00703,             0.00703,             0.00703
                  29,            0.038499,           0.0041898,                   0,             0.49433,             0.88235,             0.83165,             0.35424,            0.035372,           0.0070651,                   0,             0.00692,             0.00692,             0.00692
                  30,            0.039934,           0.0041293,                   0,             0.19808,                   1,             0.87329,             0.40388,            0.038853,           0.0067418,                   0,             0.00681,             0.00681,             0.00681
                  31,            0.040665,            0.004388,                   0,             0.30364,                   1,             0.84448,             0.45093,            0.032305,           0.0065787,                   0,              0.0067,              0.0067,              0.0067
                  32,            0.040037,           0.0039641,                   0,             0.54099,             0.94118,             0.85716,              0.4377,            0.031682,           0.0063323,                   0,             0.00659,             0.00659,             0.00659
                  33,            0.036073,           0.0035304,                   0,             0.88335,              0.6684,             0.91081,             0.48738,             0.03119,           0.0062536,                   0,             0.00648,             0.00648,             0.00648
                  34,            0.039872,           0.0036682,                   0,             0.48991,             0.97059,             0.91912,             0.45328,            0.032584,           0.0066976,                   0,             0.00637,             0.00637,             0.00637
                  35,            0.040589,           0.0036439,                   0,             0.56199,             0.97059,             0.94421,             0.51066,            0.028839,           0.0066405,                   0,             0.00626,             0.00626,             0.00626
                  36,            0.039218,           0.0043823,                   0,              0.5868,             0.97059,             0.90747,             0.42435,            0.040754,           0.0060331,                   0,             0.00615,             0.00615,             0.00615
                  37,            0.036516,           0.0040374,                   0,             0.68369,             0.82353,             0.79091,             0.41649,            0.031066,           0.0060899,                   0,             0.00604,             0.00604,             0.00604
                  38,            0.036415,             0.00423,                   0,             0.70289,             0.94118,             0.90132,             0.44315,            0.034068,           0.0062518,                   0,             0.00593,             0.00593,             0.00593
                  39,            0.033486,           0.0042106,                   0,             0.68731,             0.94118,             0.87951,             0.43389,             0.03275,           0.0058813,                   0,             0.00582,             0.00582,             0.00582
                  40,            0.035265,           0.0033182,                   0,             0.83903,             0.64706,             0.81728,             0.47467,            0.032197,           0.0064858,                   0,             0.00571,             0.00571,             0.00571
                  41,            0.035154,           0.0037459,                   0,             0.68655,             0.79412,             0.80938,             0.41018,            0.030068,           0.0063232,                   0,              0.0056,              0.0056,              0.0056
                  42,            0.034766,           0.0037732,                   0,             0.70357,             0.88235,             0.80517,             0.46136,            0.029511,           0.0055873,                   0,             0.00549,             0.00549,             0.00549
                  43,            0.032059,           0.0036069,                   0,             0.68604,             0.83567,             0.80464,             0.42707,            0.028521,           0.0058386,                   0,             0.00538,             0.00538,             0.00538
                  44,            0.036827,           0.0037236,                   0,             0.79566,             0.80181,             0.90108,             0.44499,            0.033243,           0.0059729,                   0,             0.00527,             0.00527,             0.00527
                  45,            0.034798,           0.0035209,                   0,             0.81638,             0.70588,             0.81138,             0.30864,            0.043247,           0.0061719,                   0,             0.00516,             0.00516,             0.00516
                  46,            0.034029,           0.0035847,                   0,             0.76622,             0.79412,             0.82331,             0.44668,            0.031956,           0.0059328,                   0,             0.00505,             0.00505,             0.00505
                  47,            0.030197,           0.0035979,                   0,             0.79665,             0.70588,             0.83277,              0.4072,            0.032609,           0.0061949,                   0,             0.00494,             0.00494,             0.00494
                  48,            0.033488,           0.0035519,                   0,             0.77494,               0.709,             0.80941,             0.41274,            0.031146,           0.0061666,                   0,             0.00483,             0.00483,             0.00483
                  49,            0.031905,           0.0034646,                   0,              0.6269,             0.82353,             0.77127,              0.4064,            0.030587,           0.0055719,                   0,             0.00472,             0.00472,             0.00472
                  50,            0.031483,           0.0033932,                   0,             0.77315,             0.80207,             0.85856,             0.44776,             0.02899,           0.0050749,                   0,             0.00461,             0.00461,             0.00461
                  51,            0.031844,           0.0031059,                   0,             0.83535,             0.82353,             0.93258,             0.50192,            0.026953,           0.0051408,                   0,              0.0045,              0.0045,              0.0045
                  52,            0.031907,           0.0032057,                   0,             0.74353,             0.88235,             0.89047,             0.47904,            0.028439,           0.0053137,                   0,             0.00439,             0.00439,             0.00439
                  53,            0.030671,           0.0039546,                   0,             0.65977,             0.91259,             0.82002,             0.47552,            0.027385,           0.0049471,                   0,             0.00428,             0.00428,             0.00428
                  54,            0.031483,            0.003268,                   0,             0.78562,             0.76471,             0.86102,             0.46759,            0.032586,           0.0054097,                   0,             0.00417,             0.00417,             0.00417
                  55,            0.031961,           0.0034217,                   0,             0.70897,             0.85294,             0.81841,             0.39048,            0.037095,           0.0050003,                   0,             0.00406,             0.00406,             0.00406
                  56,            0.031019,           0.0033098,                   0,             0.68937,             0.78344,             0.79621,             0.40976,            0.032708,           0.0053403,                   0,             0.00395,             0.00395,             0.00395
                  57,             0.03152,           0.0032963,                   0,             0.70708,             0.85198,             0.77877,             0.31812,            0.036984,           0.0050697,                   0,             0.00384,             0.00384,             0.00384
                  58,            0.031023,           0.0032213,                   0,             0.63037,             0.82353,             0.70855,             0.40961,            0.027153,           0.0052272,                   0,             0.00373,             0.00373,             0.00373
                  59,            0.027202,           0.0035676,                   0,             0.67451,             0.79412,             0.72584,             0.36213,            0.031722,           0.0050314,                   0,             0.00362,             0.00362,             0.00362
                  60,            0.031698,           0.0032415,                   0,             0.69563,             0.79412,             0.81062,              0.3896,            0.034387,            0.005529,                   0,             0.00351,             0.00351,             0.00351
                  61,            0.030903,           0.0035854,                   0,             0.72429,             0.84999,             0.80893,             0.42963,            0.031415,           0.0050839,                   0,              0.0034,              0.0034,              0.0034
                  62,            0.028426,           0.0032277,                   0,             0.70751,             0.85375,             0.84852,             0.50202,            0.029746,            0.005314,                   0,             0.00329,             0.00329,             0.00329
                  63,             0.03082,           0.0030172,                   0,             0.70516,             0.82353,             0.81154,             0.45985,            0.028261,            0.005286,                   0,             0.00318,             0.00318,             0.00318
                  64,            0.028897,           0.0029907,                   0,             0.68163,             0.81872,             0.80982,             0.46005,             0.02782,           0.0049284,                   0,             0.00307,             0.00307,             0.00307
                  65,            0.028278,           0.0030591,                   0,             0.67487,             0.85472,             0.81729,             0.39392,            0.035001,           0.0051001,                   0,             0.00296,             0.00296,             0.00296
                  66,            0.028404,           0.0030322,                   0,             0.68316,             0.88795,              0.8235,             0.44823,            0.031313,            0.004989,                   0,             0.00285,             0.00285,             0.00285
                  67,            0.028328,           0.0029076,                   0,             0.84268,             0.78786,             0.86742,             0.46873,            0.031872,           0.0046792,                   0,             0.00274,             0.00274,             0.00274
                  68,            0.029524,           0.0028985,                   0,             0.75831,             0.83065,             0.82543,             0.49029,            0.027764,            0.004932,                   0,             0.00263,             0.00263,             0.00263
                  69,            0.029842,           0.0023299,                   0,             0.76339,             0.85294,             0.86644,             0.52898,            0.027377,           0.0050197,                   0,             0.00252,             0.00252,             0.00252
                  70,            0.027244,           0.0029502,                   0,             0.72425,             0.92715,             0.87533,             0.47226,            0.028007,           0.0048637,                   0,             0.00241,             0.00241,             0.00241
                  71,            0.030433,           0.0030837,                   0,             0.72204,             0.91692,             0.84619,             0.45458,            0.029946,           0.0049052,                   0,              0.0023,              0.0023,              0.0023
                  72,             0.02676,           0.0031352,                   0,             0.78249,             0.84658,             0.90095,             0.49937,            0.027675,           0.0052587,                   0,             0.00219,             0.00219,             0.00219
                  73,            0.025458,           0.0028521,                   0,             0.72138,             0.85294,             0.87062,             0.46795,            0.028721,           0.0050448,                   0,             0.00208,             0.00208,             0.00208
                  74,            0.024879,           0.0025929,                   0,             0.70229,             0.90212,             0.84027,             0.46472,            0.028775,           0.0048848,                   0,             0.00197,             0.00197,             0.00197
                  75,            0.027019,           0.0027756,                   0,               0.717,             0.94118,             0.89867,             0.51323,            0.027175,           0.0045962,                   0,             0.00186,             0.00186,             0.00186
                  76,            0.025436,           0.0027691,                   0,             0.82291,             0.82353,             0.90531,             0.55371,            0.025953,           0.0044305,                   0,             0.00175,             0.00175,             0.00175
                  77,              0.0256,            0.002815,                   0,             0.80855,             0.86972,             0.91266,             0.55869,            0.025611,           0.0047087,                   0,             0.00164,             0.00164,             0.00164
                  78,            0.025209,           0.0025762,                   0,             0.74128,             0.88235,             0.91491,             0.49799,            0.028294,            0.004844,                   0,             0.00153,             0.00153,             0.00153
                  79,            0.024989,           0.0027853,                   0,             0.74362,             0.91176,             0.90571,             0.51829,            0.027337,           0.0048323,                   0,             0.00142,             0.00142,             0.00142
                  80,            0.025355,           0.0028536,                   0,             0.75333,             0.89841,             0.90369,             0.51677,            0.028154,           0.0044251,                   0,             0.00131,             0.00131,             0.00131
                  81,             0.02556,           0.0024987,                   0,             0.74778,             0.91176,             0.90664,             0.51576,            0.028261,           0.0043738,                   0,              0.0012,              0.0012,              0.0012
                  82,            0.025414,           0.0027551,                   0,              0.7606,             0.93457,             0.92758,             0.51895,            0.027803,           0.0043274,                   0,             0.00109,             0.00109,             0.00109
                  83,            0.024555,           0.0026727,                   0,             0.80787,             0.86588,             0.93695,             0.53763,            0.026832,           0.0044525,                   0,             0.00098,             0.00098,             0.00098
                  84,            0.025195,             0.00294,                   0,             0.76601,             0.85294,             0.92727,             0.50685,            0.028742,           0.0044286,                   0,             0.00087,             0.00087,             0.00087
                  85,            0.026296,           0.0027523,                   0,             0.95555,             0.70588,             0.92103,             0.50727,            0.028086,           0.0045117,                   0,             0.00076,             0.00076,             0.00076
                  86,            0.024185,           0.0026123,                   0,             0.82407,             0.79412,             0.92516,             0.54366,            0.027002,            0.004547,                   0,             0.00065,             0.00065,             0.00065
                  87,            0.022182,           0.0027526,                   0,              0.8198,             0.79412,             0.92299,             0.52666,            0.027631,           0.0046456,                   0,             0.00054,             0.00054,             0.00054
                  88,             0.02339,           0.0024627,                   0,             0.80649,             0.79412,             0.92146,             0.54046,            0.027496,           0.0047483,                   0,             0.00043,             0.00043,             0.00043
                  89,            0.022607,           0.0027821,                   0,             0.70846,             0.85777,             0.91219,             0.51248,            0.028368,           0.0047337,                   0,             0.00032,             0.00032,             0.00032
